,GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,geometry
0,Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Estimate; Total: - Not computed,
22,1500000US360470013001,360470013001,"Block Group 1, Census Tract 13, Kings County, New York",134,0,24,8,52,27,5,0,13,0,5,"POLYGON ((-73.991407 40.69777699999999, -73.99130599999999 40.699195, -73.99103099999999 40.699845, -73.99093499999999 40.700767, -73.98972999999999 40.700734, -73.98868399999999 40.700699, -73.98789599999999 40.698758, -73.98693999999999 40.698781, -73.986969 40.698504, -73.985587 40.698446, -73.98496 40.698445, -73.98472599999999 40.696129, -73.98514299999999 40.694885, -73.987162 40.694961, -73.99009199999999 40.695074, -73.990746 40.695034, -73.991298 40.696579, -73.991365 40.69701, -73.991407 40.69777699999999))"
23,1500000US360470013002,360470013002,"Block Group 2, Census Tract 13, Kings County, New York",0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((-73.98868399999999 40.700699, -73.98679799999999 40.700617, -73.986813 40.699956, -73.98693999999999 40.698781, -73.98789599999999 40.698758, -73.98868399999999 40.700699))"
24,1500000US360470015001,360470015001,"Block Group 1, Census Tract 15, Kings County, New York",449,9,63,58,78,89,39,9,53,30,21,"POLYGON ((-73.98472599999999 40.696129, -73.98496 40.698445, -73.98399499999999 40.698414, -73.98311799999999 40.697542, -73.982083 40.697499, -73.98245299999999 40.694796, -73.98326399999999 40.694814, -73.98514299999999 40.694885, -73.98472599999999 40.696129))"
25,1500000US360470015002,360470015002,"Block Group 2, Census Tract 15, Kings County, New York",524,24,57,94,63,107,21,60,10,75,13,"POLYGON ((-73.98245299999999 40.694796, -73.982083 40.697499, -73.980515 40.697437, -73.98038799999999 40.696507, -73.980356 40.696178, -73.98013899999999 40.694683, -73.979168 40.693489, -73.982512 40.693614, -73.98245299999999 40.694796))"
26,1500000US360470015003,360470015003,"Block Group 3, Census Tract 15, Kings County, New York",732,17,46,78,115,34,50,23,64,235,70,"POLYGON ((-73.98514299999999 40.694885, -73.98326399999999 40.694814, -73.98245299999999 40.694796, -73.982512 40.693614, -73.98254 40.693002, -73.981791 40.692025, -73.982079 40.691292, -73.98136 40.68992799999999, -73.98350599999999 40.689921, -73.98536299999999 40.690667, -73.98514299999999 40.694885))"
27,1500000US360470018000,360470018000,"Block Group 0, Census Tract 18, Kings County, New York",0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((-74.03351683155289 40.6443027526705, -74.032066 40.646479, -74.02620732724439 40.6518050661414, -74.018272 40.659019, -74.01866096053919 40.6625189360408, -74.01780000000001 40.662544, -74.001454 40.667633, -74.000175 40.668601, -73.999021 40.671429, -73.99861899999999 40.67183, -73.998457 40.671568, -73.999072 40.668446, -73.999893 40.667597, -74.00292399999999 40.666403, -73.99952499999999 40.664399, -74.000046 40.663819, -74.00111699999999 40.662907, -74.004847 40.665068, -74.003626 40.662736, -74.00777699999999 40.664716, -74.003546 40.662192, -74.00592899999999 40.663149, -74.00613199999999 40.661863, -74.00881 40.663347, -74.010408 40.66251, -74.00748899999999 40.660553, -74.00876199999999 40.659629, -74.01284699999999 40.662022, -74.01406999999999 40.661479, -74.011129 40.659675, -74.01194199999999 40.658966, -74.015591 40.660736, -74.016673 40.65998, -74.01743999999999 40.659431, -74.01451899999999 40.657514, -74.01759799999999 40.658242, -74.01586499999999 40.656219, -74.019165 40.657361, -74.016401 40.655595, -74.01788599999999 40.654054, -74.01993899999999 40.65527, -74.019289 40.654086, -74.020877 40.654433, -74.022227 40.652042, -74.020944 40.651274, -74.024406 40.650922, -74.025637 40.649753, -74.02406499999999 40.647598, -74.025468 40.646833, -74.02929399999999 40.64874, -74.02606 40.646261, -74.028255 40.644053, -74.03049799999999 40.6453, -74.03264399999999 40.6438, -74.03351683155289 40.6443027526705))"
28,1500000US360470018001,360470018001,"Block Group 1, Census Tract 18, Kings County, New York",0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((-74.03049799999999 40.6453, -74.028255 40.644053, -74.02606 40.646261, -74.02929399999999 40.64874, -74.025468 40.646833, -74.02406499999999 40.647598, -74.025637 40.649753, -74.024406 40.650922, -74.020944 40.651274, -74.022227 40.652042, -74.020877 40.654433, -74.019289 40.654086, -74.01993899999999 40.65527, -74.01788599999999 40.654054, -74.016401 40.655595, -74.019165 40.657361, -74.01586499999999 40.656219, -74.01759799999999 40.658242, -74.01451899999999 40.657514, -74.01743999999999 40.659431, -74.016673 40.65998, -74.015591 40.660736, -74.01194199999999 40.658966, -74.011129 40.659675, -74.01406999999999 40.661479, -74.01284699999999 40.662022, -74.00876199999999 40.659629, -74.00748899999999 40.660553, -74.010408 40.66251, -74.00881 40.663347, -74.00613199999999 40.661863, -74.00592899999999 40.663149, -74.003546 40.662192, -74.00777699999999 40.664716, -74.003626 40.662736, -74.004847 40.665068, -74.00111699999999 40.662907, -74.000046 40.663819, -73.99952499999999 40.664399, -74.00292399999999 40.666403, -73.999893 40.667597, -73.999072 40.668446, -73.998457 40.671568, -73.997624 40.670274, -73.996426 40.669006, -73.996033 40.66806, -73.994845 40.666805, -73.995795 40.665516, -73.996393 40.664954, -73.99695799999999 40.664393, -73.997534 40.663834, -73.99987 40.661589, -74.00045399999999 40.661032, -74.002161 40.659356, -74.003288 40.658185, -74.004465 40.657072, -74.006231 40.6554, -74.00878999999999 40.656963, -74.010493 40.655276, -74.01110299999999 40.654695, -74.011684 40.654135, -74.01389499999999 40.655466, -74.01504799999999 40.654362, -74.012844 40.653016, -74.01518399999999 40.650773, -74.01634299999999 40.649656, -74.01750899999999 40.648533, -74.019256 40.646853, -74.02145999999999 40.648182, -74.02383499999999 40.645919, -74.021598 40.64459799999999, -74.022769 40.643469, -74.023956 40.642327, -74.025724 40.640631, -74.026257 40.640132, -74.029079 40.641274, -74.02906 40.641727, -74.03264399999999 40.6438, -74.03049799999999 40.6453))"
29,1500000US360470020001,360470020001,"Block Group 1, Census Tract 20, Kings County, New York",137,0,16,24,18,0,0,0,30,49,0,"POLYGON ((-74.01634299999999 40.649656, -74.01518399999999 40.650773, -74.01262899999999 40.649235, -74.013172 40.648652, -74.013733 40.648079, -74.014377 40.647554, -74.014932 40.646982, -74.01750899999999 40.648533, -74.01634299999999 40.649656))"
30,1500000US360470020002,360470020002,"Block Group 2, Census Tract 20, Kings County, New York",133,21,0,4,11,46,9,0,13,6,23,"POLYGON ((-74.01750899999999 40.648533, -74.014932 40.646982, -74.01553299999999 40.646418, -74.016086 40.645882, -74.016651 40.645331, -74.019256 40.646853, -74.01750899999999 40.648533))"
31,1500000US360470021001,360470021001,"Block Group 1, Census Tract 21, Kings County, New York",46,21,8,10,0,0,0,0,0,7,0,"POLYGON ((-73.99449799999999 40.704318, -73.99369299999999 40.704476, -73.992722 40.705544, -73.98938099999999 40.705137, -73.98908399999999 40.704601, -73.98972999999999 40.700734, -73.99093499999999 40.700767, -73.99261199999999 40.702061, -73.993267 40.702435, -73.995069 40.703102, -73.99449799999999 40.704318))"
32,1500000US360470021002,360470021002,"Block Group 2, Census Tract 21, Kings County, New York",453,8,45,199,46,26,48,15,28,38,0,"POLYGON ((-73.98908399999999 40.704601, -73.98938099999999 40.705137, -73.98727099999999 40.705181, -73.98653 40.704979, -73.98660099999999 40.700621, -73.98679799999999 40.700617, -73.98868399999999 40.700699, -73.98972999999999 40.700734, -73.98908399999999 40.704601))"
33,1500000US360470021003,360470021003,"Block Group 3, Census Tract 21, Kings County, New York",339,0,106,25,70,15,35,0,27,61,0,"POLYGON ((-73.98653 40.704979, -73.984189 40.705582, -73.98308 40.705519, -73.97923299999999 40.705769, -73.97917099999999 40.705301, -73.980729 40.701268, -73.98285 40.701359, -73.98476099999999 40.701439, -73.98660099999999 40.700621, -73.98653 40.704979))"
34,1500000US360470022001,360470022001,"Block Group 1, Census Tract 22, Kings County, New York",393,34,30,30,15,15,47,8,43,171,0,"POLYGON ((-74.02383499999999 40.645919, -74.02145999999999 40.648182, -74.019256 40.646853, -74.016651 40.645331, -74.017877 40.644201, -74.017926 40.644233, -74.02041799999999 40.645733, -74.021598 40.64459799999999, -74.02383499999999 40.645919))"
35,1500000US360470022002,360470022002,"Block Group 2, Census Tract 22, Kings County, New York",342,0,23,48,49,45,15,0,33,113,16,"POLYGON ((-74.021598 40.64459799999999, -74.02041799999999 40.645733, -74.017926 40.644233, -74.01901099999999 40.643165, -74.020212 40.641981, -74.022769 40.643469, -74.021598 40.64459799999999))"
36,1500000US360470022003,360470022003,"Block Group 3, Census Tract 22, Kings County, New York",418,24,101,40,15,15,10,64,7,84,58,"POLYGON ((-74.026257 40.640132, -74.025724 40.640631, -74.023956 40.642327, -74.022769 40.643469, -74.020212 40.641981, -74.02085699999999 40.641435, -74.020966 40.641651, -74.021165 40.641417, -74.023105 40.639996, -74.023545 40.639314, -74.024754 40.638121, -74.026861 40.639536, -74.026257 40.640132))"
37,1500000US360470023001,360470023001,"Block Group 1, Census Tract 23, Kings County, New York",551,33,47,73,61,26,88,103,27,67,26,"POLYGON ((-73.98679799999999 40.700617, -73.98660099999999 40.700621, -73.98476099999999 40.701439, -73.98285 40.701359, -73.98293199999999 40.699772, -73.98640899999999 40.699928, -73.986813 40.699956, -73.98679799999999 40.700617))"
38,1500000US360470023002,360470023002,"Block Group 2, Census Tract 23, Kings County, New York",568,45,17,120,69,51,53,13,7,131,62,"POLYGON ((-73.98285 40.701359, -73.980729 40.701268, -73.980462 40.699703, -73.98293199999999 40.699772, -73.98285 40.701359))"
39,1500000US360470023003,360470023003,"Block Group 3, Census Tract 23, Kings County, New York",432,87,64,32,0,52,69,44,0,78,6,"POLYGON ((-73.98693999999999 40.698781, -73.986813 40.699956, -73.98640899999999 40.699928, -73.98293199999999 40.699772, -73.980462 40.699703, -73.98054399999999 40.698246, -73.980515 40.697437, -73.982083 40.697499, -73.98311799999999 40.697542, -73.98399499999999 40.698414, -73.98496 40.698445, -73.985587 40.698446, -73.986969 40.698504, -73.98693999999999 40.698781))"
40,1500000US360470029011,360470029011,"Block Group 1, Census Tract 29.01, Kings County, New York",1015,76,19,82,136,147,87,34,131,225,78,"POLYGON ((-73.98038799999999 40.696507, -73.978381 40.696492, -73.97833 40.696161, -73.97782699999999 40.693438, -73.979168 40.693489, -73.98013899999999 40.694683, -73.980356 40.696178, -73.98038799999999 40.696507))"
41,1500000US360470029012,360470029012,"Block Group 2, Census Tract 29.01, Kings County, New York",228,8,32,0,9,18,43,20,0,98,0,"POLYGON ((-73.978381 40.696492, -73.97739 40.696419, -73.976443 40.696371, -73.97618799999999 40.695098, -73.975987 40.694089, -73.975848 40.693361, -73.97782699999999 40.693438, -73.97833 40.696161, -73.978381 40.696492))"
42,1500000US360470030001,360470030001,"Block Group 1, Census Tract 30, Kings County, New York",121,0,0,26,30,0,14,32,4,12,3,"POLYGON ((-74.030322 40.639647, -74.029095 40.640811, -74.029079 40.641274, -74.026257 40.640132, -74.026861 40.639536, -74.027624 40.638805, -74.028004 40.638145, -74.03060599999999 40.638963, -74.030322 40.639647))"
43,1500000US360470030002,360470030002,"Block Group 2, Census Tract 30, Kings County, New York",175,0,0,30,20,63,4,0,10,48,0,"POLYGON ((-74.030891 40.638279, -74.03060599999999 40.638963, -74.028004 40.638145, -74.028279 40.637468, -74.02865799999999 40.636546, -74.031268 40.637357, -74.030891 40.638279))"
44,1500000US360470031001,360470031001,"Block Group 1, Census Tract 31, Kings County, New York",364,11,33,28,95,63,5,16,14,88,11,"POLYGON ((-73.982512 40.693614, -73.979168 40.693489, -73.97782699999999 40.693438, -73.97754499999999 40.691896, -73.97894699999999 40.691921, -73.981791 40.692025, -73.98254 40.693002, -73.982512 40.693614))"
45,1500000US360470031002,360470031002,"Block Group 2, Census Tract 31, Kings County, New York",0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((-73.981791 40.692025, -73.97894699999999 40.691921, -73.978624 40.689831, -73.98136 40.68992799999999, -73.982079 40.691292, -73.981791 40.692025))"
46,1500000US360470031003,360470031003,"Block Group 3, Census Tract 31, Kings County, New York",82,0,8,0,45,4,19,6,0,0,0,"POLYGON ((-73.97894699999999 40.691921, -73.97754499999999 40.691896, -73.97782699999999 40.693438, -73.975848 40.693361, -73.973855 40.693287, -73.97354 40.691707, -73.97312599999999 40.689622, -73.974109 40.689663, -73.975106 40.689698, -73.977098 40.689773, -73.978624 40.689831, -73.97894699999999 40.691921))"
47,1500000US360470033001,360470033001,"Block Group 1, Census Tract 33, Kings County, New York",406,48,46,81,20,25,0,12,65,88,21,"POLYGON ((-73.977098 40.689773, -73.975106 40.689698, -73.974616 40.687191, -73.97559 40.687086, -73.976545 40.686994, -73.977098 40.689773))"
48,1500000US360470033002,360470033002,"Block Group 2, Census Tract 33, Kings County, New York",897,33,76,75,153,138,60,55,49,258,0,"POLYGON ((-73.98136 40.68992799999999, -73.978624 40.689831, -73.977098 40.689773, -73.976545 40.686994, -73.97936299999999 40.686682, -73.980559 40.688351, -73.98087 40.688866, -73.98350599999999 40.689921, -73.98136 40.68992799999999))"
49,1500000US360470034000,360470034000,"Block Group 0, Census Tract 34, Kings County, New York",0,0,0,0,0,0,0,0,0,0,0,
50,1500000US360470034001,360470034001,"Block Group 1, Census Tract 34, Kings County, New York",273,0,50,79,0,11,11,7,89,26,0,"POLYGON ((-74.038336 40.637074, -74.0374076923077 40.6384664615385, -74.03585910791371 40.6407893381295, -74.03351683155289 40.6443027526705, -74.03264399999999 40.6438, -74.02906 40.641727, -74.029079 40.641274, -74.029095 40.640811, -74.030322 40.639647, -74.03060599999999 40.638963, -74.030891 40.638279, -74.031268 40.637357, -74.03595799999999 40.638821, -74.03607099999999 40.637306, -74.037245 40.635985, -74.03870402208149 40.6359700240455, -74.038336 40.637074))"
51,1500000US360470034002,360470034002,"Block Group 2, Census Tract 34, Kings County, New York",243,25,39,36,40,12,11,0,0,69,11,"POLYGON ((-74.03595799999999 40.638821, -74.031268 40.637357, -74.031826 40.635993, -74.03607099999999 40.637306, -74.03595799999999 40.638821))"
52,1500000US360470034003,360470034003,"Block Group 3, Census Tract 34, Kings County, New York",247,42,25,0,76,8,0,36,0,40,20,"POLYGON ((-74.03607099999999 40.637306, -74.031826 40.635993, -74.032037 40.635475, -74.03231699999999 40.634791, -74.037245 40.635985, -74.03607099999999 40.637306))"
53,1500000US360470035001,360470035001,"Block Group 1, Census Tract 35, Kings County, New York",142,4,7,15,24,21,20,7,17,27,0,"POLYGON ((-73.97936299999999 40.686682, -73.976545 40.686994, -73.97559 40.687086, -73.97495499999999 40.683984, -73.973922 40.683756, -73.97377999999999 40.683061, -73.97592899999999 40.683505, -73.977457 40.684052, -73.978026 40.684864, -73.97936299999999 40.686682))"
54,1500000US360470035002,360470035002,"Block Group 2, Census Tract 35, Kings County, New York",468,0,70,25,71,14,69,7,56,145,11,"POLYGON ((-73.97559 40.687086, -73.974616 40.687191, -73.97428099999999 40.685513, -73.973922 40.683756, -73.97495499999999 40.683984, -73.97559 40.687086))"
55,1500000US360470036001,360470036001,"Block Group 1, Census Tract 36, Kings County, New York",273,10,51,6,35,29,9,1,12,120,0,"POLYGON ((-74.031826 40.635993, -74.031268 40.637357, -74.02865799999999 40.636546, -74.029134 40.635373, -74.02935699999999 40.634837, -74.032037 40.635475, -74.031826 40.635993))"
56,1500000US360470036002,360470036002,"Block Group 2, Census Tract 36, Kings County, New York",530,12,70,79,53,109,29,20,9,136,13,"POLYGON ((-74.03231699999999 40.634791, -74.032037 40.635475, -74.02935699999999 40.634837, -74.02963299999999 40.634153, -74.02991299999999 40.633474, -74.03259299999999 40.63411, -74.03231699999999 40.634791))"
57,1500000US360470036003,360470036003,"Block Group 3, Census Tract 36, Kings County, New York",357,21,12,15,68,44,0,60,25,88,24,"POLYGON ((-74.03259299999999 40.63411, -74.02991299999999 40.633474, -74.030473 40.632099, -74.03315499999999 40.632735, -74.03259299999999 40.63411))"
58,1500000US360470037001,360470037001,"Block Group 1, Census Tract 37, Kings County, New York",314,0,63,37,60,35,12,17,54,32,4,"POLYGON ((-73.989261 40.690977, -73.98893199999999 40.692086, -73.987348 40.691458, -73.98536299999999 40.690667, -73.98350599999999 40.689921, -73.98087 40.688866, -73.980559 40.688351, -73.97936299999999 40.686682, -73.98181699999999 40.68733, -73.986155 40.689018, -73.989662 40.690334, -73.989261 40.690977))"
59,1500000US360470038000,360470038000,"Block Group 0, Census Tract 38, Kings County, New York",0,0,0,0,0,0,0,0,0,0,0,
60,1500000US360470038001,360470038001,"Block Group 1, Census Tract 38, Kings County, New York",199,20,21,55,22,32,9,0,14,16,10,"POLYGON ((-74.0387807086057 40.6357399832871, -74.03870402208149 40.6359700240455, -74.037245 40.635985, -74.03231699999999 40.634791, -74.03259299999999 40.63411, -74.03315499999999 40.632735, -74.03692599999999 40.633639, -74.0393851747986 40.63392673300719, -74.0387807086057 40.6357399832871))"
61,1500000US360470039001,360470039001,"Block Group 1, Census Tract 39, Kings County, New York",390,29,39,62,52,41,20,17,52,47,31,"POLYGON ((-73.98181699999999 40.68733, -73.97936299999999 40.686682, -73.978026 40.684864, -73.978337 40.68439499999999, -73.98070199999999 40.685324, -73.98266099999999 40.686086, -73.98181699999999 40.68733))"
62,1500000US360470039002,360470039002,"Block Group 2, Census Tract 39, Kings County, New York",284,0,0,19,6,67,8,31,0,153,0,"POLYGON ((-73.98266099999999 40.686086, -73.98070199999999 40.685324, -73.981993 40.683418, -73.983953 40.684182, -73.98266099999999 40.686086))"
63,1500000US360470039003,360470039003,"Block Group 3, Census Tract 39, Kings County, New York",144,40,10,30,0,21,0,0,7,36,0,"POLYGON ((-73.98070199999999 40.685324, -73.978337 40.68439499999999, -73.97960499999999 40.682489, -73.981993 40.683418, -73.98070199999999 40.685324))"
64,1500000US360470041001,360470041001,"Block Group 1, Census Tract 41, Kings County, New York",562,21,80,81,74,56,40,44,89,41,36,"POLYGON ((-73.986155 40.689018, -73.98181699999999 40.68733, -73.98266099999999 40.686086, -73.98482899999999 40.68693, -73.98700000000001 40.687773, -73.986155 40.689018))"
65,1500000US360470041002,360470041002,"Block Group 2, Census Tract 41, Kings County, New York",281,9,19,16,7,81,9,10,30,100,0,"POLYGON ((-73.98700000000001 40.687773, -73.98482899999999 40.68693, -73.986119 40.685024, -73.98828899999999 40.685869, -73.98700000000001 40.687773))"
